"FrP" "Skepsis" "Utjevn" "Inntekt" "Utdanning" "Kvinne"
"949" 0 5 3 4 13 0
"954" 0 4.33333333333333 2 3 18 1
"956" 0 5.66666666666667 4 7 11 1
"965" 0 4 2 9 17 1
"966" 0 7.33333333333333 2 4 12 0
"967" 0 4 2 3 12 0
"968" 0 1.66666666666667 3 1 7 1
"971" 0 5.33333333333333 2 7 14 0
"972" 1 5.66666666666667 3 7 14 0
"973" 0 5.66666666666667 2 5 15 1
"974" 0 5 3 6 9 0
"977" 0 5.33333333333333 2 4 12 0
"978" 0 2.33333333333333 2 8 9 1
"980" 0 4 3 3 12 0
"981" 0 4.33333333333333 2 7 12 0
"984" 1 4.33333333333333 2 5 10 1
"985" 0 8.33333333333333 2 5 15 1
"986" 0 2.66666666666667 3 1 15 1
"989" 0 3.66666666666667 2 4 12 0
"993" 1 3.66666666666667 3 3 12 0
"996" 1 8.33333333333333 1 2 10 0
"998" 0 5 4 3 15 0
"1001" 0 6 4 10 12 0
"1002" 0 7 2 4 13 0
"1007" 0 3.33333333333333 3 2 10 1
"1009" 0 6.5 3 3 12 0
"1012" 0 3.33333333333333 3 4 13 0
"1013" 0 4 1 8 12 1
"1016" 0 7 2 7 12 0
"1018" 0 3 2 3 8 0
"1025" 0 4 2 3 18 0
"1026" 0 5.66666666666667 2 4 12 0
"1032" 0 6.66666666666667 4 5 15 0
"1035" 0 6.66666666666667 2 3 15 1
"1036" 1 2.33333333333333 2 9 17 0
"1037" 0 4.66666666666667 3 4 17 0
"1040" 0 2.66666666666667 4 4 15 1
"1046" 1 6.33333333333333 2 7 12 0
"1048" 1 5.33333333333333 3 3 14 0
"1049" 0 5 2 3 13 0
"1054" 0 4 2 4 14 0
"1062" 0 5 4 5 13 0
"1067" 1 4.66666666666667 1 2 13 0
"1077" 0 4 4 10 12 0
"1084" 0 6.33333333333333 4 1 16 1
"1085" 0 4.33333333333333 NA 6 11 0
"1097" 0 4.66666666666667 3 9 12 1
"1099" 1 5.66666666666667 3 3 12 0
"1102" 0 6 4 4 11 0
"1106" 0 5.33333333333333 1 9 14 0
"1107" 0 3.66666666666667 3 9 20 0
"1108" 0 4.66666666666667 2 2 8 1
"1109" 0 5.33333333333333 3 9 16 0
"1112" 0 4.66666666666667 3 3 14 1
"1114" 1 5.66666666666667 1 3 14 1
"1118" 1 6 2 6 16 0
"1120" 0 5 4 10 19 1
"1122" 0 5.66666666666667 4 10 17 0
"1125" 1 5.66666666666667 4 6 11 0
"1131" 0 6.33333333333333 2 5 9 0
"1133" 1 4.33333333333333 4 1 7 0
"1137" 0 6 2 4 12 1
"1140" 0 4.33333333333333 2 7 18 1
"1143" 0 3.33333333333333 2 5 17 0
"1145" 0 4 2 3 17 1
"1147" 0 4 3 NA 16 1
"1150" 1 4 2 7 13 1
"1154" 1 4.33333333333333 2 4 11 0
"1168" 0 6.33333333333333 2 8 12 0
"1180" 1 4.33333333333333 1 5 12 0
"1184" 0 4 4 8 13 0
"1189" 0 5 2 2 13 1
"1194" 0 6 2 5 13 0
"1198" 0 2.66666666666667 2 7 16 0
"1201" 0 3.33333333333333 2 8 16 1
"1202" 1 7 1 NA 12 1
"1207" 0 3.33333333333333 4 5 14 0
"1210" 0 4.33333333333333 3 9 17 1
"1211" 0 2.33333333333333 2 10 17 0
"1212" 1 3.33333333333333 4 2 12 0
"1215" 1 4 1 2 15 1
"1217" 0 4.33333333333333 3 8 14 0
"1230" 0 5 2 6 12 0
"1234" 0 5 2 3 19 0
"1242" 1 7 3 2 10 1
"1248" 1 3 2 2 12 0
"1258" 0 4.33333333333333 3 4 12 0
"1263" 1 4.33333333333333 4 4 15 0
"1265" 0 5.66666666666667 3 1 13 0
"1269" 1 5 2 3 13 0
"1271" 0 5.66666666666667 4 10 12 0
"1283" 1 6.33333333333333 1 2 11 1
"1285" 1 4.66666666666667 4 3 15 1
"1290" 1 5.66666666666667 3 2 19 1
"1295" 0 5.33333333333333 3 10 17 1
"1306" 0 4.66666666666667 2 10 14 0
"1307" 0 6 2 3 15 1
"1308" 0 4.33333333333333 2 6 12 1
"1312" 1 4.66666666666667 2 NA 11 1
"1320" 0 6.66666666666667 3 NA 8 1
"1323" 0 2.33333333333333 2 NA 15 1
"1329" 0 4.33333333333333 2 4 11 0
"1331" 0 2.66666666666667 2 10 15 0
"1333" 0 6.66666666666667 4 1 12 0
"1336" 0 2.33333333333333 4 6 18 0
"1338" 0 5.33333333333333 3 2 17 1
"1341" 1 3.66666666666667 1 7 11 0
"1350" 1 9 2 6 10 0
"1353" 0 6.33333333333333 3 7 14 0
"1357" 0 6 2 4 13 1
"1359" 1 5.33333333333333 2 8 9 0
"1360" 0 6.33333333333333 2 5 11 0
"1362" 1 5 2 4 15 1
"1365" 1 5 1 4 15 1
"1380" 0 6.33333333333333 2 10 12 1
"1384" 1 5.66666666666667 3 3 15 0
"1385" 1 9 2 2 13 0
"1389" 1 9.33333333333333 5 8 11 0
"1390" 0 4.33333333333333 2 9 16 1
"1394" 0 8.33333333333333 1 4 13 1
"1398" 0 4.33333333333333 4 2 14 0
"1403" 1 6.66666666666667 1 NA 13 1
"1409" 0 4 1 4 8 1
"1414" 0 3 3 8 16 0
"1422" 1 6 4 3 13 0
"1423" 1 6.33333333333333 1 4 10 1
"1426" 1 7 2 5 12 0
"1429" 1 3.66666666666667 3 NA NA 0
"1433" 0 2.66666666666667 2 10 16 1
"1436" 0 2.33333333333333 5 8 25 0
